,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
3435,09/10/2021,40049,36,Garvin County,OK,38.7,10732,10732.0,46.3,10374,49.7,4048,80.2,93.7,12734.0,46.0,12734.0,54.9,12191.0,58.4,4442.0,88.0,C,10,11,11,12
3445,09/10/2021,40095,36,Marshall County,OK,35.4,6001,6001.0,41.6,5750,44.1,2384,64.4,93.7,7638.0,45.1,7638.0,53.0,7280.0,55.9,2849.0,77.0,D,14,15,15,15
3468,09/10/2021,40105,36,Nowata County,OK,31.9,3210,3210.0,37.4,3101,39.6,1219,61.2,93.7,4295.0,42.6,4295.0,50.1,4126.0,52.7,1496.0,75.1,C,10,10,10,11
3497,09/10/2021,40091,36,McIntosh County,OK,45.3,8870,8870.0,51.7,8611,54.7,4013,79.2,93.7,10526.0,53.7,10526.0,61.4,10140.0,64.4,4413.0,87.1,D,15,16,16,16
3511,09/10/2021,40093,36,Major County,OK,39.8,3040,3040.0,48.0,2966,52.4,1339,85.7,93.7,3605.0,47.3,3605.0,56.9,3493.0,61.7,1472.0,94.2,B,6,7,8,8
3549,09/10/2021,40051,36,Grady County,OK,30.7,17138,17136.0,36.1,16434,38.6,5652,60.5,93.7,20229.0,36.2,20227.0,42.6,19230.0,45.2,6266.0,67.1,B,6,6,6,7
3609,09/10/2021,40123,36,Pontotoc County,OK,42.4,16218,16218.0,50.6,15475,53.2,4513,71.0,93.7,19581.0,51.1,19580.0,61.1,18573.0,63.9,5080.0,79.9,C,11,12,12,12
3662,09/10/2021,40043,36,Dewey County,OK,22.0,1078,1078.0,27.0,1055,29.7,512,57.7,93.7,1192.0,24.4,1192.0,29.8,1159.0,32.6,538.0,60.6,A,1,1,1,3
3663,09/10/2021,40007,36,Beaver County,OK,24.3,1293,1292.0,28.8,1255,32.0,555,52.8,93.7,1577.0,29.7,1577.0,35.1,1513.0,38.6,605.0,57.6,B,5,5,6,7
3805,09/10/2021,40053,36,Grant County,OK,34.9,1511,1511.0,41.4,1474,44.7,673,69.6,93.7,1872.0,43.2,1872.0,51.3,1811.0,55.0,785.0,81.2,A,2,3,3,3
3807,09/10/2021,40101,36,Muskogee County,OK,39.7,27010,27010.0,47.4,25544,49.7,8916,76.9,93.7,34559.0,50.8,34557.0,60.6,32400.0,63.0,10491.0,90.4,D,14,15,15,16
3839,09/10/2021,40107,36,Okfuskee County,OK,38.4,4601,4601.0,45.1,4397,47.5,1676,77.9,93.7,5384.0,44.9,5383.0,52.7,5111.0,55.2,1742.0,80.9,D,14,15,15,16
3846,09/10/2021,40035,36,Craig County,OK,43.3,6120,6120.0,50.3,5928,53.3,2324,81.7,93.7,7520.0,53.2,7520.0,61.8,7237.0,65.1,2742.0,96.4,D,15,16,16,16
3869,09/10/2021,40003,36,Alfalfa County,OK,38.9,2219,2219.0,44.9,2201,47.9,792,68.6,93.7,2461.0,43.2,2460.0,49.7,2432.0,52.9,871.0,75.4,B,6,7,7,7
3905,09/10/2021,40021,36,Cherokee County,OK,36.5,17751,17751.0,42.6,16823,44.1,5340,64.6,93.7,22236.0,45.7,22236.0,53.3,20886.0,54.8,6154.0,74.5,D,14,15,15,15
3935,09/10/2021,40061,36,Haskell County,OK,32.6,4111,4111.0,38.3,3994,41.3,1714,66.5,93.7,4947.0,39.2,4946.0,46.1,4745.0,49.1,1887.0,73.3,D,14,14,15,15
3948,09/10/2021,40115,36,Ottawa County,OK,31.3,9736,9735.0,37.5,9391,40.0,3825,66.5,93.7,11803.0,37.9,11801.0,45.5,11328.0,48.3,4462.0,77.6,D,14,14,15,15
3954,09/10/2021,40013,36,Bryan County,OK,30.2,14495,14495.0,35.8,13998,38.0,5313,61.5,93.7,17409.0,36.3,17409.0,43.0,16713.0,45.4,5930.0,68.6,D,14,14,14,15
4096,09/10/2021,40147,36,Washington County,OK,34.6,17849,17849.0,41.1,16923,43.1,6444,63.3,93.7,22225.0,43.1,22224.0,51.2,20928.0,53.3,7761.0,76.2,B,6,7,7,7
4106,09/10/2021,40011,36,Blaine County,OK,37.1,3498,3498.0,44.7,3334,47.5,1177,61.7,93.7,4237.0,44.9,4237.0,54.1,3977.0,56.7,1350.0,70.8,C,10,11,11,11
4120,09/10/2021,40141,36,Tillman County,OK,37.8,2743,2743.0,44.4,2642,47.4,1048,71.4,93.7,3347.0,46.2,3347.0,54.2,3197.0,57.4,1199.0,81.7,D,14,15,15,16
4123,09/10/2021,40143,36,Tulsa County,OK,49.8,324642,324638.0,59.9,304073,62.3,83382,86.4,93.7,384174.0,59.0,384145.0,70.9,357150.0,73.2,92591.0,96.0,C,11,12,12,12
4131,09/10/2021,40017,36,Canadian County,OK,46.1,68395,68395.0,55.6,63924,58.2,15690,79.6,93.7,81333.0,54.8,81331.0,66.2,75437.0,68.7,17909.0,90.8,B,7,8,8,8
4170,09/10/2021,40109,36,Oklahoma County,OK,51.5,410661,410649.0,62.3,382204,64.3,94808,84.8,93.7,494681.0,62.0,494636.0,75.0,456572.0,76.8,108156.0,96.7,C,12,12,12,12
4185,09/10/2021,40117,36,Pawnee County,OK,40.2,6584,6584.0,47.3,6255,49.8,2338,73.2,93.7,7912.0,48.3,7912.0,56.9,7488.0,59.7,2660.0,83.3,C,11,11,11,12
4237,09/10/2021,40149,36,Washita County,OK,31.5,3443,3441.0,37.5,3313,40.2,1290,63.3,93.7,4288.0,39.3,4286.0,46.7,4098.0,49.7,1547.0,75.9,B,6,6,7,7
4254,09/10/2021,40087,36,McClain County,OK,39.8,16096,16096.0,47.3,15310,50.8,4851,76.2,93.7,19074.0,47.1,19072.0,56.1,18015.0,59.8,5381.0,84.5,A,2,3,4,4
